Year;Month;Day;Hour;Minute;Temperature;Precipitation;Wind_Speed;Wind_Direction
2019;03;11;00;00;16.09;0.00;3.98;185.19
2019;03;11;01;00;15.56;0.00;2.52;180.00
2019;03;11;02;00;15.09;0.00;1.61;153.43
2019;03;11;03;00;14.73;0.00;1.30;123.69
2019;03;11;04;00;14.44;0.00;2.19;99.46
2019;03;11;05;00;14.24;0.00;2.16;90.00
2019;03;11;06;00;13.98;0.00;2.55;98.13
2019;03;11;07;00;13.86;0.00;2.88;90.00
2019;03;11;08;00;13.85;0.00;2.90;97.13
2019;03;11;09;00;16.71;0.00;1.02;225.00
2019;03;11;10;00;18.05;0.00;3.98;264.81
2019;03;11;11;00;19.63;0.00;5.15;257.91
2019;03;11;12;00;21.61;0.00;5.82;248.20
2019;03;11;13;00;23.38;0.00;6.99;235.49
2019;03;11;14;00;24.79;0.00;8.71;218.29
2019;03;11;15;00;25.65;0.00;11.44;204.15
2019;03;11;16;00;25.98;0.00;12.66;194.83
2019;03;11;17;00;25.77;0.00;12.85;191.31
2019;03;11;18;00;25.05;0.00;13.14;189.46
2019;03;11;19;00;23.93;0.00;12.32;186.71
2019;03;11;20;00;22.30;0.00;7.24;174.29
2019;03;11;21;00;21.16;0.00;4.07;135.00
2019;03;11;22;00;20.39;0.00;3.67;101.31
2019;03;11;23;00;19.72;0.00;5.41;93.81
2019;03;12;00;00;19.25;0.00;5.77;86.42
2019;03;12;01;00;19.06;0.00;6.52;83.66
2019;03;12;02;00;18.68;0.00;7.34;78.69
2019;03;12;03;00;18.46;0.00;8.56;75.38
2019;03;12;04;00;18.17;0.00;9.00;73.74
2019;03;12;05;00;17.88;0.00;9.00;73.74
2019;03;12;06;00;17.65;0.00;9.35;74.36
2019;03;12;07;00;17.44;0.00;9.69;74.93
2019;03;12;08;00;17.45;0.00;10.04;75.47
2019;03;12;09;00;17.74;0.00;2.52;90.00
2019;03;12;10;00;19.34;0.00;3.22;243.43
2019;03;12;11;00;21.42;0.00;4.83;243.43
2019;03;12;12;00;23.66;0.00;6.37;227.29
2019;03;12;13;00;25.52;0.00;8.29;214.38
2019;03;12;14;00;26.88;0.00;10.79;205.71
2019;03;12;15;00;27.70;0.00;11.77;203.43
2019;03;12;16;00;28.06;0.00;11.17;200.77
2019;03;12;17;00;28.00;0.00;10.93;197.24
2019;03;12;18;00;27.49;0.00;10.95;189.46
2019;03;12;19;00;26.58;0.00;10.45;181.97
2019;03;12;20;00;25.14;0.00;6.99;168.11
2019;03;12;21;00;23.80;0.00;4.39;124.99
2019;03;12;22;00;22.65;0.00;3.89;123.69
2019;03;12;23;00;21.61;0.00;3.89;123.69
2019;03;13;00;00;20.71;0.00;3.88;111.80
2019;03;13;01;00;20.34;0.00;4.74;98.75
2019;03;13;02;00;19.93;0.00;5.40;90.00
2019;03;13;03;00;19.64;0.00;5.76;90.00
2019;03;13;04;00;19.27;0.00;6.13;86.63
2019;03;13;05;00;18.84;0.00;6.16;83.29
2019;03;13;06;00;18.42;0.00;6.52;83.66
2019;03;13;07;00;18.07;0.00;5.80;82.87
2019;03;13;08;00;17.83;0.00;5.51;78.69
2019;03;13;09;00;18.39;0.00;1.80;143.13
2019;03;13;10;00;19.91;0.00;4.10;232.13
2019;03;13;11;00;21.76;0.00;5.40;233.13
2019;03;13;12;00;23.84;0.00;7.15;229.09
2019;03;13;13;00;25.51;0.00;9.18;221.82
2019;03;13;14;00;26.78;0.00;10.99;211.61
2019;03;13;15;00;27.29;0.00;12.24;208.07
2019;03;13;16;00;27.14;0.00;12.57;203.63
2019;03;13;17;00;26.77;0.00;11.84;199.54
2019;03;13;18;00;26.07;0.00;11.79;192.34
2019;03;13;19;00;24.87;0.00;11.21;185.53
2019;03;13;20;00;23.15;0.00;7.21;177.14
2019;03;13;21;00;21.89;0.00;3.22;153.43
2019;03;13;22;00;20.74;0.00;3.42;161.57
2019;03;13;23;00;19.72;0.00;3.05;135.00
2019;03;14;00;00;18.95;0.00;3.76;106.70
2019;03;14;01;00;18.47;0.00;5.40;90.00
2019;03;14;02;00;18.28;0.00;6.29;76.76
2019;03;14;03;00;18.30;0.00;7.17;72.47
2019;03;14;04;00;18.23;0.00;7.52;73.30
2019;03;14;05;00;18.06;0.00;8.21;74.74
2019;03;14;06;00;17.84;0.00;8.65;73.07
2019;03;14;07;00;17.59;0.00;8.77;70.82
2019;03;14;08;00;17.50;0.00;8.43;70.02
2019;03;14;09;00;18.56;0.00;2.74;66.80
2019;03;14;10;00;19.38;0.00;5.01;248.96
2019;03;14;11;00;21.00;0.00;5.19;236.31
2019;03;14;12;00;23.03;0.00;7.90;226.85
2019;03;14;13;00;24.75;0.00;9.29;215.54
2019;03;14;14;00;26.06;0.00;10.19;212.01
2019;03;14;15;00;26.86;0.00;10.69;212.62
2019;03;14;16;00;27.09;0.00;11.75;207.35
2019;03;14;17;00;26.80;0.00;12.07;197.35
2019;03;14;18;00;25.99;0.00;11.66;188.88
2019;03;14;19;00;24.83;0.00;11.18;183.69
2019;03;14;20;00;23.26;0.00;6.57;170.54
2019;03;14;21;00;22.07;0.00;3.40;147.99
2019;03;14;22;00;20.86;0.00;3.40;147.99
2019;03;14;23;00;19.75;0.00;3.10;125.54
2019;03;15;00;00;18.93;0.00;3.98;95.19
2019;03;15;01;00;18.46;0.00;5.51;78.69
2019;03;15;02;00;18.39;0.00;6.62;67.62
2019;03;15;03;00;18.34;0.00;7.42;67.17
2019;03;15;04;00;18.18;0.00;8.23;66.80
2019;03;15;05;00;17.87;0.00;8.37;64.54
2019;03;15;06;00;17.54;0.00;8.23;66.80
2019;03;15;07;00;17.21;0.00;7.57;64.65
2019;03;15;08;00;16.99;0.00;7.57;64.65
2019;03;15;09;00;17.70;0.00;5.15;65.22
2019;03;15;10;00;19.56;0.00;4.90;252.90
2019;03;15;11;00;21.37;0.00;6.49;236.31
2019;03;15;12;00;23.46;0.00;7.39;226.97
2019;03;15;13;00;25.17;0.00;6.37;227.29
2019;03;15;14;00;26.55;0.00;7.41;240.95
2019;03;15;15;00;27.34;0.00;9.00;233.13
2019;03;15;16;00;27.29;0.00;11.49;212.20
2019;03;15;17;00;26.62;0.00;11.84;199.54
2019;03;15;18;00;25.83;0.00;9.61;192.99
2019;03;15;19;00;24.72;0.00;7.57;182.73
2019;03;15;20;00;23.19;0.00;4.90;162.90
2019;03;15;21;00;21.96;0.00;3.55;113.96
2019;03;15;22;00;20.75;0.00;3.60;90.00
2019;03;15;23;00;19.58;0.00;3.98;95.19
2019;03;16;00;00;18.60;0.00;5.45;82.41
2019;03;16;01;00;18.04;0.00;7.63;70.71
2019;03;16;02;00;17.66;0.00;9.03;66.50
2019;03;16;03;00;17.29;0.00;10.14;62.53
2019;03;16;04;00;16.84;0.00;10.95;62.59
2019;03;16;05;00;16.55;0.00;11.11;65.10
2019;03;16;06;00;16.24;0.00;11.44;65.85
2019;03;16;07;00;16.05;0.00;11.12;60.95
2019;03;16;08;00;15.86;0.00;10.81;60.02
2019;03;16;09;00;17.04;0.00;5.12;50.71
2019;03;16;10;00;18.55;0.00;4.69;265.60
2019;03;16;11;00;20.44;0.00;6.13;266.63
2019;03;16;12;00;22.61;0.00;8.64;270.00
2019;03;16;13;00;24.40;0.00;9.69;254.93
2019;03;16;14;00;25.49;0.00;10.97;228.99
2019;03;16;15;00;25.52;0.00;13.85;204.57
2019;03;16;16;00;25.29;0.00;12.07;197.35
2019;03;16;17;00;24.99;0.00;8.77;199.18
2019;03;16;18;00;24.37;0.00;5.05;184.09
2019;03;16;19;00;23.55;0.00;2.55;171.87
2019;03;16;20;00;22.16;0.00;4.10;127.87
2019;03;16;21;00;20.81;0.00;6.48;90.00
2019;03;16;22;00;19.81;0.00;5.76;90.00
2019;03;16;23;00;18.85;0.00;6.52;83.66
2019;03;17;00;00;17.72;0.00;7.52;73.30
2019;03;17;01;00;16.86;0.00;8.77;70.82
2019;03;17;02;00;16.32;0.00;9.79;72.90
2019;03;17;03;00;15.96;0.00;10.37;69.68
2019;03;17;04;00;15.85;0.00;9.36;67.38
2019;03;17;05;00;15.81;0.00;9.36;67.38
2019;03;17;06;00;15.54;0.00;8.43;70.02
2019;03;17;07;00;15.28;0.00;7.63;70.71
2019;03;17;08;00;15.05;0.00;6.83;71.57
2019;03;17;09;00;15.05;0.00;2.41;116.57
2019;03;17;10;00;16.71;0.00;4.33;228.37
2019;03;17;11;00;18.52;0.00;5.99;212.74
2019;03;17;12;00;20.68;0.00;8.09;212.28
2019;03;17;13;00;22.57;0.00;10.19;212.01
2019;03;17;14;00;24.15;0.00;12.07;206.57
2019;03;17;15;00;25.14;0.00;13.24;202.38
2019;03;17;16;00;25.55;0.00;13.10;200.92
2019;03;17;17;00;25.49;0.00;12.76;196.39
2019;03;17;18;00;24.98;0.00;12.22;193.63
2019;03;17;19;00;23.93;0.00;11.30;189.16
2019;03;17;20;00;22.38;0.00;7.20;180.00
2019;03;17;21;00;21.06;0.00;4.69;175.60
2019;03;17;22;00;22.22;0.00;5.86;222.51
2019;03;17;23;00;20.70;0.00;3.96;180.00
2019;03;18;00;00;19.38;0.00;3.55;156.04
2019;03;18;01;00;18.33;0.00;3.42;161.57
2019;03;18;02;00;17.55;0.00;3.67;168.69
2019;03;18;03;00;16.97;0.00;3.40;147.99
2019;03;18;04;00;16.44;0.00;3.32;139.40
2019;03;18;05;00;15.98;0.00;3.10;125.54
2019;03;18;06;00;15.66;0.00;2.41;116.57
2019;03;18;07;00;15.40;0.00;2.28;108.43
2019;03;18;08;00;15.28;0.00;2.62;105.95
2019;03;18;09;00;16.13;0.00;1.48;194.04
2019;03;18;10;00;17.71;0.00;4.58;225.00
2019;03;18;11;00;19.81;0.00;6.37;222.71
2019;03;18;12;00;21.96;0.00;8.44;219.81
2019;03;18;13;00;23.82;0.00;9.29;215.54
2019;03;18;14;00;25.35;0.00;11.02;218.37
2019;03;18;15;00;25.74;0.00;13.39;216.25
2019;03;18;16;00;25.32;0.00;11.98;212.74
2019;03;18;17;00;25.65;0.00;10.20;227.86
2019;03;18;18;00;25.48;0.00;9.59;235.71
2019;03;18;19;00;24.56;0.00;9.39;237.53
2019;03;18;20;00;22.60;0.00;6.49;236.31
2019;03;18;21;00;19.83;0.00;2.10;210.96
2019;03;18;22;00;17.81;0.00;1.53;135.00
2019;03;18;23;00;16.74;0.00;2.52;180.00
